segA segB cor p x n pBH
chr8.H1 chr2.H1 -0.177663764080704 0.0448434561471998 60 145 0.510781949094062
chr9.H1 chr2.H1 -0.0893990001015801 0.3190241121719 66 145 0.96209727192286
chr10.H1 chr2.H1 -0.00115074798619102 1 73 145 1
chr11.H1 chr2.H1 -0.0364924330230664 0.739294487919816 70 145 1
chr12.H1 chr2.H1 -0.0364924330230664 0.739294487919816 70 145 1
chr13.H1 chr2.H1 -0.0793200412877905 0.404711647379167 67 145 0.977387167998401
chr14.H1 chr2.H1 -0.0164468070085474 0.868672266920547 71 145 1
chr15.H1 chr2.H1 -0.127712809855034 0.134753107537309 64 145 0.800346327740544
chr16.H1 chr2.H1 -0.00365456416242785 1 73 145 1
chr17.H1 chr2.H1 0.0800157206089465 0.401659379114492 79 145 0.977387167998401
chr18.H1 chr2.H1 0.0490930406540728 0.618043266584621 76 145 1
chr19.H1 chr2.H1 0.00905597351265828 1 74 145 1
chr20.H1 chr2.H1 -0.0289604909858074 0.740862601329111 71 145 1
chr21.H1 chr2.H1 0.0672172683447549 0.502765100503099 78 145 1
chr22.H1 chr2.H1 0.0719069701769051 0.408215926868994 78 145 0.977387167998401
chrX.H1 chr2.H1 -0.0720185017979516 0.406538710524414 68 145 0.977387167998401
chr1.H2 chr2.H1 0.11467957776548 0.184896915586245 81 145 0.857333090750419
chr2.H2 chr2.H1 -0.0213946325029422 0.868009993460328 71 145 1
chr3.H2 chr2.H1 -0.107905815532738 0.240153725662199 64 145 0.914885970786274
chr4.H2 chr2.H1 -0.0641961125431954 0.505597916748788 68 145 1
chr5.H2 chr2.H1 -0.0115229602876723 1 71 145 1
chr6.H2 chr2.H1 0.172494224554972 0.0458849797108618 85 145 0.510781949094062
chr7.H2 chr2.H1 0.0918997920633243 0.317846558814149 79 145 0.96209727192286
chr8.H2 chr2.H1 -0.0417624796951338 0.620783512803136 69 145 1
chr9.H2 chr2.H1 -0.00878875350293746 1 72 145 1
chr10.H2 chr2.H1 0.00382265259218268 1 73 145 1
chr11.H2 chr2.H1 0.0466186055373204 0.618913686437135 76 145 1
chr12.H2 chr2.H1 -0.0189149260171915 0.868333498378317 71 145 1
chr13.H2 chr2.H1 -0.0793200412877905 0.404711647379167 67 145 0.977387167998401
chr14.H2 chr2.H1 -0.00133971588756305 1 72 145 1
chr15.H2 chr2.H1 0.132188265107465 0.134224699508858 82 145 0.800346327740544
chr16.H2 chr2.H1 0.0315368838855071 0.740537450428489 75 145 1
chr17.H2 chr2.H1 0.254665418476551 0.00255909121121255 90 145 0.0523924302387795
chr18.H2 chr2.H1 0.00878875350293746 1 73 145 1
chr19.H2 chr2.H1 -0.0315368838855071 0.740537450428489 70 145 1
chr20.H2 chr2.H1 -0.0743222850574494 0.406993317160331 67 145 0.977387167998401
chr21.H2 chr2.H1 -0.117097408252711 0.183773697938869 64 145 0.857333090750419
chr22.H2 chr2.H1 0.0238915787011417 0.86770026889611 74 145 1
chrX.H2 chr2.H1 0.0641961125431954 0.505597916748787 77 145 1
chr10tr chr2.H1 0.122203600912347 0.181683705957942 81 145 0.857333090750419
chr3.H1 chr3.H1 1 3.49566549364058e-43 145 145 1.45879995183437e-41
chr4.H1 chr3.H1 0.1045913981853 0.245436515272828 80 145 0.914885970786274
chr5.H1 chr3.H1 -0.0189149260171915 0.868333498378317 71 145 1
chr6.H1 chr3.H1 0.0106250887714508 1 73 145 1
chr7.H1 chr3.H1 0.08981922141695 0.320483824742986 79 145 0.96209727192286
chr8.H1 chr3.H1 0.0769670762602205 0.40691934627316 78 145 0.977387167998401
chr9.H1 chr3.H1 0.103330163621618 0.246475939714994 80 145 0.914885970786274
chr10.H1 chr3.H1 -0.102025964577578 0.245511138266633 65 145 0.914885970786274
chr11.H1 chr3.H1 -0.00647125999238675 1 72 145 1
chr12.H1 chr3.H1 0.103920822230681 0.24612495381039 80 145 0.914885970786274
chr13.H1 chr3.H1 0.0352246788678248 0.74038019088025 75 145 1
chr14.H1 chr3.H1 -0.0769670762602205 0.40691934627316 67 145 0.977387167998401
chr15.H1 chr3.H1 -0.115746713515137 0.183903455884627 64 145 0.857333090750419
chr16.H1 chr3.H1 -0.0461784670529887 0.618176448989883 69 145 1
chr17.H1 chr3.H1 0.0371727079181735 0.738475121322653 75 145 1
chr18.H1 chr3.H1 -0.062226452125726 0.507906390722966 68 145 1
chr19.H1 chr3.H1 -0.08771905915331 0.317970316205395 66 145 0.96209727192286
chr20.H1 chr3.H1 0.258121869184098 0.00260104263596778 91 145 0.0523924302387795
chr21.H1 chr3.H1 0.133921817290241 0.133149562244009 82 145 0.800346327740544
chr22.H1 chr3.H1 0.0769670762602205 0.40691934627316 78 145 0.977387167998401
chrX.H1 chr3.H1 0.0784399215557127 0.404538793607866 78 145 0.977387167998401
chr1.H2 chr3.H1 -0.0476009173889524 0.61963586694427 69 145 1
chr2.H2 chr3.H1 0.145004759999398 0.0974287008781322 83 145 0.75577422728329
chr3.H2 chr3.H1 -0.0927401578989483 0.316262339251324 66 145 0.96209727192286
chr4.H2 chr3.H1 -0.00647125999238675 1 72 145 1
chr5.H2 chr3.H1 -0.0506989736884485 0.617081393657731 69 145 1
chr6.H2 chr3.H1 -0.0757373943303943 0.407947688866977 67 145 0.977387167998401
chr7.H2 chr3.H1 0.116863342215455 0.185274026120708 81 145 0.857333090750419
chr8.H2 chr3.H1 0.116030948482506 0.184674766654612 81 145 0.857333090750419
chr9.H2 chr3.H1 0.0487247811191473 0.619366332103508 76 145 1
chr10.H2 chr3.H1 -0.0476009173889524 0.61963586694427 69 145 1
chr11.H2 chr3.H1 -0.00647125999238675 1 72 145 1
chr12.H2 chr3.H1 0.00647125999238675 1 73 145 1
chr13.H2 chr3.H1 0.0352246788678248 0.74038019088025 75 145 1
chr14.H2 chr3.H1 -0.0358437133979871 0.739928175929904 70 145 1
chr15.H2 chr3.H1 -0.0346336828345019 0.740653368083725 70 145 1
chr16.H2 chr3.H1 0.00761614678223238 1 73 145 1
chr17.H2 chr3.H1 -0.00938898292778609 1 72 145 1
chr18.H2 chr3.H1 0.0892653216596879 0.320670713341542 79 145 0.96209727192286
chr19.H2 chr3.H1 -0.0352246788678248 0.74038019088025 70 145 1
chr20.H2 chr3.H1 -0.0211267605633803 0.868501652187637 71 145 1
chr21.H2 chr3.H1 0.103330163621618 0.246475939714994 80 145 0.914885970786274
chr22.H2 chr3.H1 0.13042651364573 0.136017981852879 82 145 0.800346327740544
chrX.H2 chr3.H1 0.00647125999238675 1 73 145 1
chr10tr chr3.H1 0.0335302114400961 0.740668978209638 75 145 1
chr4.H1 chr4.H1 1 4.00911334280721e-43 145 145 1.45879995183437e-41
chr5.H1 chr4.H1 0.0441768885927263 0.619825388080626 76 145 1
chr6.H1 chr4.H1 0.0686454764192319 0.499738436470841 78 145 1
chr7.H1 chr4.H1 -0.145333428244991 0.0970471669904883 62 145 0.75577422728329
chr8.H1 chr4.H1 0.0045766590389016 1 73 145 1
chr9.H1 chr4.H1 0.0900952969330023 0.319937478351505 79 145 0.96209727192286
chr10.H1 chr4.H1 -0.0112832745756314 1 72 145 1
chr11.H1 chr4.H1 -0.0217184324100622 0.868312977799104 71 145 1
chr12.H1 chr4.H1 -0.187464363960537 0.0306739533727158 59 145 0.393939394236716
chr13.H1 chr4.H1 0.0743281996848327 0.408035805429783 78 145 0.977387167998401
chr14.H1 chr4.H1 -0.0045766590389016 1 72 145 1
chr15.H1 chr4.H1 0.112984533894565 0.185383765529927 81 145 0.857333090750419
chr16.H1 chr4.H1 0.0985823759744372 0.246484007420499 80 145 0.914885970786274
chr17.H1 chr4.H1 0.070772172635345 0.407958759885783 78 145 0.977387167998401
chr18.H1 chr4.H1 -0.0203809656909751 0.868500299310058 71 145 1
chr19.H1 chr4.H1 0.0284349960963809 0.740617120256679 75 145 1
chr20.H1 chr4.H1 0.0441768885927263 0.619825388080626 76 145 1
chr21.H1 chr4.H1 0.0296823775485722 0.740813953363007 75 145 1
chr22.H1 chr4.H1 0.0598779557589626 0.508224718321546 77 145 1
chrX.H1 chr4.H1 -0.0536197787974208 0.616257758317602 69 145 1
chr1.H2 chr4.H1 0.184867573575097 0.0310820975949182 86 145 0.393939394236716
chr2.H2 chr4.H1 -0.0900952969330023 0.319937478351505 66 145 0.96209727192286
chr3.H2 chr4.H1 0.1238992507383 0.180254587210768 81 145 0.857333090750419
chr4.H2 chr4.H1 -0.132215720110379 0.135140707301925 63 145 0.800346327740544
chr5.H2 chr4.H1 0.0536197787974208 0.616257758317602 76 145 1
chr6.H2 chr4.H1 -0.0348571656210136 0.740372385817294 70 145 1
chr7.H2 chr4.H1 -0.0887788552902543 0.320514177320291 66 145 0.96209727192286
chr8.H2 chr4.H1 0.0244508479773501 0.867737180213494 74 145 1
chr9.H2 chr4.H1 0.116403177215333 0.185131219118106 81 145 0.857333090750419
chr10.H2 chr4.H1 0.0466933562122667 0.619690612315429 76 145 1
chr11.H2 chr4.H1 -0.0217184324100622 0.868312977799104 71 145 1
chr12.H2 chr4.H1 -0.00590588951501692 1 72 145 1
chr13.H2 chr4.H1 0.0743281996848327 0.408035805429783 78 145 0.977387167998401
chr14.H2 chr4.H1 0.0375954308010711 0.739396684401491 75 145 1
chr15.H2 chr4.H1 0.145333428244991 0.0970471669904883 83 145 0.75577422728329
chr16.H2 chr4.H1 0.0466933562122667 0.619690612315429 76 145 1
chr17.H2 chr4.H1 -0.0429619692962528 0.619634719616435 69 145 1
chr18.H2 chr4.H1 0.0769670762602205 0.40691934627316 78 145 0.977387167998401
chr19.H2 chr4.H1 0.146750548095695 0.0964746027415356 83 145 0.75577422728329
chr20.H2 chr4.H1 -0.0335302114400961 0.740668978209638 70 145 1
chr21.H2 chr4.H1 -0.103238162658958 0.246120010346945 65 145 0.914885970786274
chr22.H2 chr4.H1 0.00857633073286531 1 73 145 1
chrX.H2 chr4.H1 -0.00590588951501692 1 72 145 1
chr10tr chr4.H1 -0.0045766590389016 1 72 145 1
chr5.H1 chr5.H1 1 6.05101107065401e-43 145 145 1.84474067235074e-41
chr6.H1 chr5.H1 0.0193923034577061 0.866345850312361 75 145 1
chr7.H1 chr5.H1 -0.0490930406540728 0.618043266584621 69 145 1
chr8.H1 chr5.H1 0.0164468070085474 0.868672266920547 74 145 1
chr9.H1 chr5.H1 0.0490930406540728 0.618043266584621 76 145 1
chr10.H1 chr5.H1 -0.00115074798619102 1 73 145 1
chr11.H1 chr5.H1 -0.0918997920633243 0.317846558814149 66 145 0.96209727192286
chr12.H1 chr5.H1 -0.0641961125431954 0.505597916748788 68 145 1
chr13.H1 chr5.H1 0.197822271645454 0.0200657555400956 87 145 0.28822935324602
chr14.H1 chr5.H1 0.0112832745756314 1 73 145 1
chr15.H1 chr5.H1 0.0672172683447549 0.502765100503099 78 145 1
chr16.H1 chr5.H1 0.0242355307613636 0.866847324565882 75 145 1
chr17.H1 chr5.H1 0.0242355307613636 0.866847324565882 75 145 1
chr18.H1 chr5.H1 -0.00630377564818834 1 72 145 1
chr19.H1 chr5.H1 -0.130637234927283 0.132050669404321 64 145 0.800346327740544
chr20.H1 chr5.H1 -0.0845799769850403 0.320835761550999 67 145 0.96209727192286
chr21.H1 chr5.H1 -0.0998656558264929 0.245016882883477 66 145 0.914885970786274
chr22.H1 chr5.H1 -0.0390133561598102 0.738712531060672 70 145 1
chrX.H1 chr5.H1 0.0115229602876723 1 74 145 1
chr1.H2 chr5.H1 0.170108040352129 0.0464493956383858 85 145 0.510781949094062
chr2.H2 chr5.H1 -0.0767914488052034 0.405826616828919 67 145 0.977387167998401
chr3.H2 chr5.H1 -0.0800157206089465 0.401659379114492 66 145 0.977387167998401
chr4.H2 chr5.H1 0.0743222850574494 0.406993317160331 78 145 0.977387167998401
chr5.H2 chr5.H1 0.0998656558264929 0.245016882883477 79 145 0.914885970786274
chr6.H2 chr5.H1 -0.0490930406540728 0.618043266584621 69 145 1
chr7.H2 chr5.H1 -0.157433323617836 0.067691603632542 61 145 0.65302896630455
chr8.H2 chr5.H1 0.0693487048148552 0.503666702128009 77 145 1
chr9.H2 chr5.H1 -0.0641961125431954 0.505597916748788 68 145 1
chr10.H2 chr5.H1 -0.0238915787011417 0.86770026889611 71 145 1
chr11.H2 chr5.H1 0.0466186055373204 0.618913686437135 76 145 1
chr12.H2 chr5.H1 0.00878875350293746 1 73 145 1
chr13.H2 chr5.H1 0.197822271645454 0.0200657555400956 87 145 0.28822935324602
chr14.H2 chr5.H1 -0.0568422312294609 0.508841662203144 68 145 1
chr15.H2 chr5.H1 -0.0893990001015801 0.3190241121719 66 145 0.96209727192286
chr16.H2 chr5.H1 -0.107034272581115 0.243210310579147 65 145 0.914885970786274
chr17.H2 chr5.H1 -0.163686005380321 0.0645927720686522 60 145 0.65302896630455
chr18.H2 chr5.H1 -0.102025964577578 0.245511138266633 65 145 0.914885970786274
chr19.H2 chr5.H1 0.107034272581115 0.243210310579147 80 145 0.914885970786274
chr20.H2 chr5.H1 -0.0189149260171915 0.868333498378317 71 145 1
chr21.H2 chr5.H1 0.0767914488052034 0.405826616828919 78 145 0.977387167998401
chr22.H2 chr5.H1 -0.11467957776548 0.184896915586245 64 145 0.857333090750419
chrX.H2 chr5.H1 -0.102025964577578 0.245511138266633 65 145 0.914885970786274
chr10tr chr5.H1 -0.127367133345263 0.136229162168603 63 145 0.800346327740544
chr6.H1 chr6.H1 1 2.91268668022214e-42 145 145 6.99044803253314e-41
chr7.H1 chr6.H1 0.005794400216171 1 73 145 1
chr8.H1 chr6.H1 0.0406071832339118 0.735833068745044 76 145 1
chr9.H1 chr6.H1 0.0222118674953222 0.866505505370908 74 145 1
chr10.H1 chr6.H1 -0.00872653655596774 1 73 145 1
chr11.H1 chr6.H1 -0.0106250887714508 1 72 145 1
chr12.H1 chr6.H1 -0.0386366864416394 0.736257027901051 70 145 1
chr13.H1 chr6.H1 0.000966285059420747 1 73 145 1
chr14.H1 chr6.H1 0.0154694031367283 0.86756323507585 73 145 1
chr15.H1 chr6.H1 -0.0534005750699174 0.61149152468059 70 145 1
chr16.H1 chr6.H1 -0.0700140042014005 0.497231009852366 69 145 1
chr17.H1 chr6.H1 0.127386590977548 0.131210560411831 83 145 0.800346327740544
chr18.H1 chr6.H1 -0.0338006679276642 0.737317284762109 70 145 1
chr19.H1 chr6.H1 0.0263009526572407 0.865063949396506 76 145 1
chr20.H1 chr6.H1 0.103748823498728 0.23838575399929 81 145 0.914885970786274
chr21.H1 chr6.H1 0.00291275864017732 1 74 145 1
chr22.H1 chr6.H1 0.124722062789872 0.17669708362082 82 145 0.857333090750419
chrX.H1 chr6.H1 0.0592260923502721 0.501586767825147 78 145 1
chr1.H2 chr6.H1 0.0570108185058241 0.50511357516556 77 145 1
chr2.H2 chr6.H1 -0.0782244029183085 0.400424745072231 67 145 0.977387167998401
chr3.H2 chr6.H1 0.126414174252529 0.174145559709145 80 145 0.857333090750419
chr4.H2 chr6.H1 -0.0386366864416394 0.736257027901051 70 145 1
chr5.H2 chr6.H1 0.0534005750699174 0.61149152468059 75 145 1
chr6.H2 chr6.H1 -0.0782244029183085 0.400424745072231 67 145 0.977387167998401
chr7.H2 chr6.H1 -0.0453981065689263 0.615928068948585 69 145 1
chr8.H2 chr6.H1 0.0203385275618353 0.866406272622346 73 145 1
chr9.H2 chr6.H1 0.185456094919869 0.0292676851402606 86 145 0.393939394236716
chr10.H2 chr6.H1 -0.0270559816637809 0.866118161260888 71 145 1
chr11.H2 chr6.H1 -0.0386366864416394 0.736257027901051 70 145 1
chr12.H2 chr6.H1 0.0106250887714508 1 73 145 1
chr13.H2 chr6.H1 0.000966285059420747 1 73 145 1
chr14.H2 chr6.H1 -0.0803088098259718 0.39885775429457 66 145 0.977387167998401
chr15.H2 chr6.H1 -0.117819471062144 0.179247571223474 64 145 0.857333090750419
chr16.H2 chr6.H1 0.000966285059420747 1 73 145 1
chr17.H2 chr6.H1 0.0418139191758364 0.734349261475325 74 145 1
chr18.H2 chr6.H1 -0.0734097042391149 0.402995991533355 67 145 0.977387167998401
chr19.H2 chr6.H1 0.0550782483869826 0.612962834149845 76 145 1
chr20.H2 chr6.H1 -0.129432899579492 0.131865558730789 63 145 0.800346327740544
chr21.H2 chr6.H1 -0.005794400216171 1 72 145 1
chr22.H2 chr6.H1 0.0270559816637809 0.866118161260888 74 145 1
chrX.H2 chr6.H1 -0.101421301909303 0.241483572522908 65 145 0.914885970786274
chr10tr chr6.H1 -0.124722062789872 0.17669708362082 63 145 0.857333090750419
chr7.H1 chr7.H1 1 3.40118804786652e-43 145 145 1.45879995183437e-41
chr8.H1 chr7.H1 -0.117714362588997 0.184605453676478 64 145 0.857333090750419
chr9.H1 chr7.H1 0.020738203957382 0.868597706495754 74 145 1
chr10.H1 chr7.H1 -0.132188265107465 0.134224699508858 63 145 0.800346327740544
chr11.H1 chr7.H1 0.0481446250391703 0.619624939856131 76 145 1
chr12.H1 chr7.H1 -0.00704091354327786 1 72 145 1
chr13.H1 chr7.H1 -0.020940418415892 0.868500299310058 71 145 1
chr14.H1 chr7.H1 -0.0203809656909751 0.868500299310058 71 145 1
chr15.H1 chr7.H1 -0.0908582273676342 0.317739508508899 66 145 0.96209727192286
chr16.H1 chr7.H1 -0.132761777963297 0.133033778230871 63 145 0.800346327740544
chr17.H1 chr7.H1 0.145022605942591 0.0955197579743034 83 145 0.75577422728329
chr18.H1 chr7.H1 -0.0344368340943683 0.740746826329461 70 145 1
chr19.H1 chr7.H1 -0.0356950557852889 0.738379604566379 70 145 1
chr20.H1 chr7.H1 0.00630377564818834 1 73 145 1
chr21.H1 chr7.H1 0.0200844502602139 0.868009993460328 74 145 1
chr22.H1 chr7.H1 -0.0348571656210136 0.740372385817294 70 145 1
chrX.H1 chr7.H1 -0.00765121914674814 1 72 145 1
chr1.H2 chr7.H1 -0.158956812520635 0.0680505915295437 61 145 0.65302896630455
chr2.H2 chr7.H1 -0.0759132420091324 0.407947688866977 67 145 0.977387167998401
chr3.H2 chr7.H1 0.0216480244009416 0.867613775804674 74 145 1
chr4.H2 chr7.H1 -0.0346336828345019 0.740653368083725 70 145 1
chr5.H2 chr7.H1 0.00765121914674814 1 73 145 1
chr6.H2 chr7.H1 -0.103500761035008 0.246475939714994 65 145 0.914885970786274
chr7.H2 chr7.H1 0.08981922141695 0.320483824742986 79 145 0.96209727192286
chr8.H2 chr7.H1 -0.0202252307084399 0.868304833385584 71 145 1
chr9.H2 chr7.H1 0.130922932912842 0.136005633282967 82 145 0.800346327740544
chr10.H2 chr7.H1 0.117075975688851 0.185103547252757 81 145 0.857333090750419
chr11.H2 chr7.H1 -0.062226452125726 0.507906390722966 68 145 1
chr12.H2 chr7.H1 0.062226452125726 0.507906390722966 77 145 1
chr13.H2 chr7.H1 -0.020940418415892 0.868500299310058 71 145 1
chr14.H2 chr7.H1 -0.0341212972193694 0.740372385817294 70 145 1
chr15.H2 chr7.H1 0.131088280060883 0.136005633282967 82 145 0.800346327740544
chr16.H2 chr7.H1 0.0894726968679023 0.320483824742986 79 145 0.96209727192286
chr17.H2 chr7.H1 -0.0894657291614134 0.317739508508899 66 145 0.96209727192286
chr18.H2 chr7.H1 0.062226452125726 0.507906390722966 77 145 1
chr19.H2 chr7.H1 0.0485436972368406 0.619362689740794 76 145 1
chr20.H2 chr7.H1 -0.0205518557479462 0.868597706495754 71 145 1
chr21.H2 chr7.H1 -0.00684931506849315 1 72 145 1
chr22.H2 chr7.H1 0.020940418415892 0.868500299310058 74 145 1
chrX.H2 chr7.H1 -0.0757373943303943 0.407947688866977 67 145 0.977387167998401
chr10tr chr7.H1 -0.0480000313469695 0.619362689740795 69 145 1
chr8.H1 chr8.H1 1 4.00911334280721e-43 145 145 1.45879995183437e-41
chr9.H1 chr8.H1 0.00723809996501921 1 73 145 1
chr10.H1 chr8.H1 0.0441768885927263 0.619825388080626 76 145 1
chr11.H1 chr8.H1 -0.132215720110379 0.135140707301925 63 145 0.800346327740544
chr12.H1 chr8.H1 0.0335302114400961 0.740668978209638 75 145 1
chr13.H1 chr8.H1 0.101963043157399 0.246565013403393 80 145 0.914885970786274
chr14.H1 chr8.H1 -0.142829900839054 0.0976830449543265 62 145 0.75577422728329
chr15.H1 chr8.H1 0.14075191934323 0.0976412754809803 83 145 0.75577422728329
chr16.H1 chr8.H1 -0.1238992507383 0.180254587210768 64 145 0.857333090750419
chr17.H1 chr8.H1 0.0151517659571606 0.868601622631639 74 145 1
chr18.H1 chr8.H1 -0.130857228314953 0.135709267605081 63 145 0.800346327740544
chr19.H1 chr8.H1 0.0841522181771274 0.320407177421003 79 145 0.96209727192286
chr20.H1 chr8.H1 0.0164468070085474 0.868672266920547 74 145 1
chr21.H1 chr8.H1 -0.0536197787974208 0.616257758317602 69 145 1
chr22.H1 chr8.H1 0.0875286041189931 0.320847947494374 79 145 0.96209727192286
chrX.H1 chr8.H1 -0.0536197787974208 0.616257758317602 69 145 1
chr1.H2 chr8.H1 0.0190585127397007 0.868622102264364 74 145 1
chr2.H2 chr8.H1 0.0756190970029638 0.407595721606921 78 145 0.977387167998401
chr3.H2 chr8.H1 0.0126584373819316 1 73 145 1
chr4.H2 chr8.H1 0.0887788552902543 0.320514177320291 79 145 0.96209727192286
chr5.H2 chr8.H1 -0.0574497629972366 0.508178537426651 68 145 1
chr6.H2 chr8.H1 -0.0624762312770079 0.507428720870032 68 145 1
chr7.H2 chr8.H1 0.0217184324100622 0.868312977799104 74 145 1
chr8.H2 chr8.H1 0.052149074201692 0.617309730628358 76 145 1
chr9.H2 chr8.H1 -0.0217184324100622 0.868312977799104 71 145 1
chr10.H2 chr8.H1 0.0466933562122667 0.619690612315429 76 145 1
chr11.H2 chr8.H1 -0.0217184324100622 0.868312977799104 71 145 1
chr12.H2 chr8.H1 0.0217184324100622 0.868312977799104 74 145 1
chr13.H2 chr8.H1 0.101963043157399 0.246565013403393 80 145 0.914885970786274
chr14.H2 chr8.H1 -0.0454198605617001 0.619844341268146 69 145 1
chr15.H2 chr8.H1 -0.103238162658958 0.246120010346945 65 145 0.914885970786274
chr16.H2 chr8.H1 0.157232730102531 0.0683133138510079 84 145 0.65302896630455
chr17.H2 chr8.H1 0.0126584373819316 1 73 145 1
chr18.H2 chr8.H1 -0.0611545333651752 0.507932927937018 68 145 1
chr19.H2 chr8.H1 0.0362111742054313 0.739949043599756 75 145 1
chr20.H2 chr8.H1 0.1045913981853 0.245436515272828 80 145 0.914885970786274
chr21.H2 chr8.H1 0.0348571656210136 0.740372385817294 75 145 1
chr22.H2 chr8.H1 -0.0190585127397007 0.868622102264364 71 145 1
chrX.H2 chr8.H1 0.0217184324100622 0.868312977799104 74 145 1
chr10tr chr8.H1 0.0507246376811594 0.618175284067216 76 145 1
chr9.H1 chr9.H1 1 3.40118804786652e-43 145 145 1.45879995183437e-41
chr10.H1 chr9.H1 -0.144795816403841 0.0964109901806912 62 145 0.75577422728329
chr11.H1 chr9.H1 -0.241294010077739 0.00472224080934793 55 145 0.0903087603563617
chr12.H1 chr9.H1 -0.0757373943303943 0.407947688866977 67 145 0.977387167998401
chr13.H1 chr9.H1 0.020940418415892 0.868500299310058 74 145 1
chr14.H1 chr9.H1 -0.0348571656210136 0.740372385817294 70 145 1
chr15.H1 chr9.H1 -0.0755557890741379 0.405826616828919 67 145 0.977387167998401
chr16.H1 chr9.H1 0.077204901182119 0.404400104953291 78 145 0.977387167998401
chr17.H1 chr9.H1 0.077204901182119 0.404400104953291 78 145 0.977387167998401
chr18.H1 chr9.H1 -0.020738203957382 0.868597706495754 71 145 1
chr19.H1 chr9.H1 -0.0199585258154304 0.867613775804674 71 145 1
