chrom	start	end	sample	cell	class
chr1	0	248956422	RPE-BM510	BM510x3PE20456	WW
chr1	0	248956422	RPE-BM510	BM510x3PE20457	CC
chr1	0	248956422	RPE-BM510	BM510x3PE20458	WW
chr1	0	248956422	RPE-BM510	BM510x3PE20460	WW
chr1	0	248956422	RPE-BM510	BM510x3PE20462	WC
chr1	0	248956422	RPE-BM510	BM510x3PE20463	WC
chr1	0	248956422	RPE-BM510	BM510x3PE20468	CC
chr1	0	248956422	RPE-BM510	BM510x3PE20471	WW
chr1	0	248956422	RPE-BM510	BM510x3PE20473	WW
chr1	0	248956422	RPE-BM510	BM510x3PE20474	CC
chr1	0	248956422	RPE-BM510	BM510x3PE20476	CC
chr1	0	248956422	RPE-BM510	BM510x3PE20477	WC
chr1	0	248956422	RPE-BM510	BM510x3PE20479	CC
chr1	0	248956422	RPE-BM510	BM510x3PE20480	CW
chr1	0	248956422	RPE-BM510	BM510x3PE20481	WW
chr1	0	248956422	RPE-BM510	BM510x3PE20483	CC
chr1	0	248956422	RPE-BM510	BM510x3PE20485	CC
chr1	0	248956422	RPE-BM510	BM510x3PE20486	WC
chr1	0	248956422	RPE-BM510	BM510x3PE20487	WC
chr1	0	248956422	RPE-BM510	BM510x3PE20488	CW
chr1	0	248956422	RPE-BM510	BM510x3PE20491	WW
chr1	0	248956422	RPE-BM510	BM510x3PE20492	WW
chr1	0	248956422	RPE-BM510	BM510x3PE20496	CC
chr1	2300000	248956422	RPE-BM510	BM510x04_PE20348	CW
chr1	5900000	120200000	RPE-BM510	BM510x04_PE20332	CC
chr1	7700000	248956422	RPE-BM510	BM510x3PE20469	CW
chr1	22900000	61500000	RPE-BM510	BM510x3PE20447	WC
chr1	24600000	120200000	RPE-BM510	BM510x04_PE20306	CC
chr1	27700000	67600000	RPE-BM510	BM510x3PE20429	CC
chr1	32900000	73100000	RPE-BM510	BM510x04_PE20393	WC
chr1	44000000	248956422	RPE-BM510	BM510x3PE20414	CW
chr1	45900000	46500000	RPE-BM510	BM510x3PE20490	WW
chr1	46500000	61500000	RPE-BM510	BM510x3PE20490	CW
chr1	50600000	65600000	RPE-BM510	BM510x3PE20464	CW
chr1	51700000	248956422	RPE-BM510	BM510x04_PE20301	CW
chr1	52100000	248956422	RPE-BM510	BM510x04_PE20380	CC
chr1	53600000	234800000	RPE-BM510	BM510x04_PE20362	CW
chr1	57700000	248956422	RPE-BM510	BM510x04_PE20333	CC
chr1	61500000	61700000	RPE-BM510	BM510x3PE20490	WW
chr1	61500000	248956422	RPE-BM510	BM510x3PE20447	WW
chr1	61700000	64900000	RPE-BM510	BM510x3PE20490	CW
chr1	64900000	65100000	RPE-BM510	BM510x3PE20490	WW
chr1	65100000	66100000	RPE-BM510	BM510x3PE20490	CW
chr1	65600000	65900000	RPE-BM510	BM510x3PE20464	WW
chr1	65900000	200300000	RPE-BM510	BM510x3PE20464	CW
chr1	66100000	66300000	RPE-BM510	BM510x3PE20490	WW
chr1	66300000	74000000	RPE-BM510	BM510x3PE20490	CW
chr1	67600000	248956422	RPE-BM510	BM510x3PE20429	CW
chr1	69500000	248956422	RPE-BM510	BM510x04_PE20328	CW
chr1	71000000	248956422	RPE-BM510	BM510x04_PE20303	CC
chr1	73100000	248956422	RPE-BM510	BM510x04_PE20393	CC
chr1	74000000	84100000	RPE-BM510	BM510x3PE20490	CC
chr1	80400000	80600000	RPE-BM510	BM510x04_PE20359	WW
chr1	80600000	196900000	RPE-BM510	BM510x04_PE20359	CW
chr1	84100000	84400000	RPE-BM510	BM510x3PE20490	WC
chr1	84400000	92100000	RPE-BM510	BM510x3PE20490	CC
chr1	91000000	248956422	RPE-BM510	BM510x3PE20489	CW
chr1	92100000	192500000	RPE-BM510	BM510x3PE20490	CW
chr1	96000000	248956422	RPE-BM510	BM510x04_PE20356	WW
chr1	108700000	213700000	RPE-BM510	BM510x3PE20495	WC
chr1	110200000	248956422	RPE-BM510	BM510x04_PE20335	CC
chr1	114700000	114900000	RPE-BM510	BM510x3PE20482	WW
chr1	114900000	248956422	RPE-BM510	BM510x3PE20482	CW
chr1	116500000	248956422	RPE-BM510	BM510x04_PE20311	CC
chr1	119900000	248956422	RPE-BM510	BM510x04_PE20360	CW
chr1	120200000	222300000	RPE-BM510	BM510x04_PE20332	WC
chr1	120200000	248956422	RPE-BM510	BM510x04_PE20306	CW
chr1	120200000	248956422	RPE-BM510	BM510x04_PE20310	CW
chr1	122600000	124500000	RPE-BM510	BM510x04_PE20378	CC
chr1	124500000	248956422	RPE-BM510	BM510x04_PE20378	CW
chr1	144000000	248956422	RPE-BM510	BM510x04_PE20374	WC
chr1	152000000	248956422	RPE-BM510	BM510x04_PE20387	CW
chr1	163600000	248956422	RPE-BM510	BM510x04_PE20375	WC
chr1	176600000	248956422	RPE-BM510	BM510x3PE20439	CC
chr1	183200000	248956422	RPE-BM510	BM510x04_PE20344	CC
chr1	192500000	193000000	RPE-BM510	BM510x3PE20490	WW
chr1	193000000	224800000	RPE-BM510	BM510x3PE20490	CW
chr1	196900000	197100000	RPE-BM510	BM510x04_PE20359	CC
chr1	197100000	248956422	RPE-BM510	BM510x04_PE20359	CW
chr1	200300000	200700000	RPE-BM510	BM510x3PE20464	WW
chr1	200700000	248956422	RPE-BM510	BM510x3PE20464	CW
chr1	201400000	245700000	RPE-BM510	BM510x3PE20408	CC
chr1	205500000	248956422	RPE-BM510	BM510x3PE20454	WC
chr1	210100000	248956422	RPE-BM510	BM510x3PE20441	CC
chr1	213000000	248956422	RPE-BM510	BM510x04_PE20312	CC
chr1	213700000	248956422	RPE-BM510	BM510x3PE20495	WW
chr1	215600000	248956422	RPE-BM510	BM510x04_PE20329	CC
chr1	218600000	248956422	RPE-BM510	BM510x3PE20436	CC
chr1	220200000	248956422	RPE-BM510	BM510x3PE20453	CW
chr1	222300000	248956422	RPE-BM510	BM510x04_PE20332	WW
chr1	224200000	248956422	RPE-BM510	BM510x3PE20418	WC
chr1	224800000	225000000	RPE-BM510	BM510x3PE20490	WW
chr1	225000000	226700000	RPE-BM510	BM510x3PE20490	WC
chr1	226000000	248956422	RPE-BM510	BM510x04_PE20336	CW
chr1	226600000	248956422	RPE-BM510	BM510x04_PE20371	WC
chr1	226700000	227000000	RPE-BM510	BM510x3PE20490	WW
chr1	227000000	248956422	RPE-BM510	BM510x3PE20490	CW
chr1	234800000	248956422	RPE-BM510	BM510x04_PE20362	CC
chr1	240300000	248956422	RPE-BM510	BM510x04_PE20302	WC
chr1	245700000	248956422	RPE-BM510	BM510x3PE20408	CW
chr10	0	6900000	RPE-BM510	BM510x04_PE20377	WW
chr10	0	12900000	RPE-BM510	BM510x04_PE20336	CW
chr10	0	13900000	RPE-BM510	BM510x04_PE20355	CC
chr10	0	14900000	RPE-BM510	BM510x04_PE20362	CW
chr10	0	17400000	RPE-BM510	BM510x04_PE20344	CC
chr10	0	20000000	RPE-BM510	BM510x04_PE20370	CW
chr10	0	21900000	RPE-BM510	BM510x3PE20464	CW
chr10	0	23900000	RPE-BM510	BM510x04_PE20312	CW
chr10	0	24200000	RPE-BM510	BM510x3PE20448	CW
chr10	0	26200000	RPE-BM510	BM510x04_PE20389	CW
chr10	0	31900000	RPE-BM510	BM510x3PE20452	WC
chr10	0	39400000	RPE-BM510	BM510x04_PE20359	CW
chr10	0	42100000	RPE-BM510	BM510x04_PE20358	CC
chr10	0	42100000	RPE-BM510	BM510x3PE20490	CC
chr10	0	45600000	RPE-BM510	BM510x3PE20421	CC
chr10	0	46300000	RPE-BM510	BM510x04_PE20310	CC
chr10	0	54600000	RPE-BM510	BM510x3PE20439	CW
chr10	0	60700000	RPE-BM510	BM510x04_PE20373	WW
chr10	0	60700000	RPE-BM510	BM510x04_PE20394	WW
chr10	0	60700000	RPE-BM510	BM510x3PE20437	WW
chr10	0	60800000	RPE-BM510	BM510x04_PE20303	WW
chr10	0	60800000	RPE-BM510	BM510x04_PE20313	WW
chr10	0	60800000	RPE-BM510	BM510x04_PE20319	CC
chr10	0	60800000	RPE-BM510	BM510x04_PE20337	WW
chr10	0	60800000	RPE-BM510	BM510x04_PE20340	CC
chr10	0	60800000	RPE-BM510	BM510x04_PE20343	CC
chr10	0	60800000	RPE-BM510	BM510x04_PE20345	CC
chr10	0	60800000	RPE-BM510	BM510x04_PE20357	CC
chr10	0	60800000	RPE-BM510	BM510x04_PE20360	CC
chr10	0	60800000	RPE-BM510	BM510x04_PE20365	WW
chr10	0	60800000	RPE-BM510	BM510x04_PE20366	WW
chr10	0	60800000	RPE-BM510	BM510x04_PE20368	WW
chr10	0	60800000	RPE-BM510	BM510x04_PE20371	CC
chr10	0	60800000	RPE-BM510	BM510x3PE20408	CC
chr10	0	60800000	RPE-BM510	BM510x3PE20431	CC
chr10	0	60800000	RPE-BM510	BM510x3PE20440	CC
chr10	0	60800000	RPE-BM510	BM510x3PE20447	CC
chr10	0	60800000	RPE-BM510	BM510x3PE20454	CC
chr10	0	60800000	RPE-BM510	BM510x3PE20463	CC
chr10	0	60800000	RPE-BM510	BM510x3PE20469	CC
chr10	0	60800000	RPE-BM510	BM510x3PE20476	WW
chr10	0	60800000	RPE-BM510	BM510x3PE20481	CC
chr10	0	60800000	RPE-BM510	BM510x3PE20483	WW
chr10	0	60800000	RPE-BM510	BM510x3PE20485	WW
chr10	0	60800000	RPE-BM510	BM510x3PE20486	WW
chr10	0	60800000	RPE-BM510	BM510x3PE20489	CC
chr10	0	60800000	RPE-BM510	BM510x3PE20496	WW
chr10	0	60900000	RPE-BM510	BM510x04_PE20301	WW
chr10	0	60900000	RPE-BM510	BM510x04_PE20379	CC
chr10	0	60900000	RPE-BM510	BM510x3PE20462	CC
chr10	0	60900000	RPE-BM510	BM510x3PE20468	CC
chr10	0	60900000	RPE-BM510	BM510x3PE20474	WW
chr10	0	61000000	RPE-BM510	BM510x3PE20449	CC
chr10	0	61500000	RPE-BM510	BM510x3PE20446	WW
chr10	0	64000000	RPE-BM510	BM510x3PE20457	WC
chr10	0	76300000	RPE-BM510	BM510x04_PE20380	WC
chr10	0	85400000	RPE-BM510	BM510x04_PE20318	CC
chr10	0	88100000	RPE-BM510	BM510x3PE20482	WC
chr10	0	106200000	RPE-BM510	BM510x3PE20417	WC
chr10	0	112400000	RPE-BM510	BM510x3PE20427	CW
chr10	0	115200000	RPE-BM510	BM510x3PE20495	WW
chr10	0	133797422	RPE-BM510	BM510x04_PE20302	CC
chr10	0	133797422	RPE-BM510	BM510x04_PE20304	CW
chr10	0	133797422	RPE-BM510	BM510x04_PE20305	WC
chr10	0	133797422	RPE-BM510	BM510x04_PE20306	WW
chr10	0	133797422	RPE-BM510	BM510x04_PE20307	WC
chr10	0	133797422	RPE-BM510	BM510x04_PE20308	WC
chr10	0	133797422	RPE-BM510	BM510x04_PE20309	WC
chr10	0	133797422	RPE-BM510	BM510x04_PE20311	CW
chr10	0	133797422	RPE-BM510	BM510x04_PE20314	WC
chr10	0	133797422	RPE-BM510	BM510x04_PE20316	CW
chr10	0	133797422	RPE-BM510	BM510x04_PE20317	WC
chr10	0	133797422	RPE-BM510	BM510x04_PE20321	CW
chr10	0	133797422	RPE-BM510	BM510x04_PE20322	CW
chr10	0	133797422	RPE-BM510	BM510x04_PE20325	CC
chr10	0	133797422	RPE-BM510	BM510x04_PE20328	WW
chr10	0	133797422	RPE-BM510	BM510x04_PE20329	WC
chr10	0	133797422	RPE-BM510	BM510x04_PE20330	CW
chr10	0	133797422	RPE-BM510	BM510x04_PE20331	CW
chr10	0	133797422	RPE-BM510	BM510x04_PE20332	WC
chr10	0	133797422	RPE-BM510	BM510x04_PE20333	WC
chr10	0	133797422	RPE-BM510	BM510x04_PE20334	CW
chr10	0	133797422	RPE-BM510	BM510x04_PE20335	CW
chr10	0	133797422	RPE-BM510	BM510x04_PE20339	WC
chr10	0	133797422	RPE-BM510	BM510x04_PE20342	CC
chr10	0	133797422	RPE-BM510	BM510x04_PE20347	WW
chr10	0	133797422	RPE-BM510	BM510x04_PE20348	CW
chr10	0	133797422	RPE-BM510	BM510x04_PE20353	CW
chr10	0	133797422	RPE-BM510	BM510x04_PE20356	WC
chr10	0	133797422	RPE-BM510	BM510x04_PE20361	CC
chr10	0	133797422	RPE-BM510	BM510x04_PE20363	CW
chr10	0	133797422	RPE-BM510	BM510x04_PE20367	CC
chr10	0	133797422	RPE-BM510	BM510x04_PE20372	CC
chr10	0	133797422	RPE-BM510	BM510x04_PE20374	CW
chr10	0	133797422	RPE-BM510	BM510x04_PE20375	WC
chr10	0	133797422	RPE-BM510	BM510x04_PE20378	WW
chr10	0	133797422	RPE-BM510	BM510x04_PE20381	WC
chr10	0	133797422	RPE-BM510	BM510x04_PE20382	WC
chr10	0	133797422	RPE-BM510	BM510x04_PE20383	WC
chr10	0	133797422	RPE-BM510	BM510x04_PE20384	WC
chr10	0	133797422	RPE-BM510	BM510x04_PE20386	CC
chr10	0	133797422	RPE-BM510	BM510x04_PE20387	WC
chr10	0	133797422	RPE-BM510	BM510x04_PE20390	CC
chr10	0	133797422	RPE-BM510	BM510x04_PE20392	CC
chr10	0	133797422	RPE-BM510	BM510x04_PE20393	CW
chr10	0	133797422	RPE-BM510	BM510x04_PE20395	CC
chr10	0	133797422	RPE-BM510	BM510x3PE20401	WW
chr10	0	133797422	RPE-BM510	BM510x3PE20402	CC
chr10	0	133797422	RPE-BM510	BM510x3PE20403	WC
chr10	0	133797422	RPE-BM510	BM510x3PE20406	WW
chr10	0	133797422	RPE-BM510	BM510x3PE20407	CW
chr10	0	133797422	RPE-BM510	BM510x3PE20410	WW
chr10	0	133797422	RPE-BM510	BM510x3PE20411	WC
chr10	0	133797422	RPE-BM510	BM510x3PE20414	WC
chr10	0	133797422	RPE-BM510	BM510x3PE20415	CC
chr10	0	133797422	RPE-BM510	BM510x3PE20416	CW
chr10	0	133797422	RPE-BM510	BM510x3PE20418	CW
chr10	0	133797422	RPE-BM510	BM510x3PE20419	CW
chr10	0	133797422	RPE-BM510	BM510x3PE20422	CW
chr10	0	133797422	RPE-BM510	BM510x3PE20423	CC
chr10	0	133797422	RPE-BM510	BM510x3PE20424	CW
chr10	0	133797422	RPE-BM510	BM510x3PE20425	WC
chr10	0	133797422	RPE-BM510	BM510x3PE20426	CC
chr10	0	133797422	RPE-BM510	BM510x3PE20429	CC
chr10	0	133797422	RPE-BM510	BM510x3PE20433	WW
chr10	0	133797422	RPE-BM510	BM510x3PE20435	WC
chr10	0	133797422	RPE-BM510	BM510x3PE20436	CC
chr10	0	133797422	RPE-BM510	BM510x3PE20438	WC
chr10	0	133797422	RPE-BM510	BM510x3PE20441	CW
chr10	0	133797422	RPE-BM510	BM510x3PE20444	CW
chr10	0	133797422	RPE-BM510	BM510x3PE20450	CW
chr10	0	133797422	RPE-BM510	BM510x3PE20453	CW
chr10	0	133797422	RPE-BM510	BM510x3PE20455	CC
chr10	0	133797422	RPE-BM510	BM510x3PE20456	WC
chr10	0	133797422	RPE-BM510	BM510x3PE20458	WC
chr10	0	133797422	RPE-BM510	BM510x3PE20460	CW
chr10	0	133797422	RPE-BM510	BM510x3PE20471	CW
chr10	0	133797422	RPE-BM510	BM510x3PE20473	CW
chr10	0	133797422	RPE-BM510	BM510x3PE20477	WC
chr10	0	133797422	RPE-BM510	BM510x3PE20479	CW
chr10	0	133797422	RPE-BM510	BM510x3PE20480	CW
chr10	0	133797422	RPE-BM510	BM510x3PE20487	CW
chr10	0	133797422	RPE-BM510	BM510x3PE20488	CW
chr10	0	133797422	RPE-BM510	BM510x3PE20491	CW
chr10	0	133797422	RPE-BM510	BM510x3PE20492	WC
chr10	6900000	7100000	RPE-BM510	BM510x04_PE20377	CW
chr10	7100000	60800000	RPE-BM510	BM510x04_PE20377	WW
chr10	12900000	60800000	RPE-BM510	BM510x04_PE20336	WW
chr10	13900000	133797422	RPE-BM510	BM510x04_PE20355	WC
chr10	14900000	133797422	RPE-BM510	BM510x04_PE20362	CC
chr10	17400000	133797422	RPE-BM510	BM510x04_PE20344	CW
chr10	20000000	133797422	RPE-BM510	BM510x04_PE20370	WW
chr10	21900000	22100000	RPE-BM510	BM510x3PE20464	WW
chr10	22100000	64200000	RPE-BM510	BM510x3PE20464	CW
chr10	23900000	133797422	RPE-BM510	BM510x04_PE20312	WW
chr10	24200000	133797422	RPE-BM510	BM510x3PE20448	CC
chr10	26200000	88700000	RPE-BM510	BM510x04_PE20389	CC
chr10	31900000	60800000	RPE-BM510	BM510x3PE20452	CC
chr10	39400000	133797422	RPE-BM510	BM510x04_PE20359	WW
chr10	42100000	108100000	RPE-BM510	BM510x3PE20490	WC
chr10	42100000	133797422	RPE-BM510	BM510x04_PE20358	WC
chr10	45600000	133797422	RPE-BM510	BM510x3PE20421	CW
chr10	46300000	133797422	RPE-BM510	BM510x04_PE20310	WC
chr10	54600000	60800000	RPE-BM510	BM510x3PE20439	WW
chr10	60700000	127700000	RPE-BM510	BM510x04_PE20394	CW
chr10	60700000	133797422	RPE-BM510	BM510x04_PE20373	WC
chr10	60700000	133797422	RPE-BM510	BM510x3PE20437	WC
chr10	60800000	84300000	RPE-BM510	BM510x3PE20489	CW
chr10	60800000	121700000	RPE-BM510	BM510x04_PE20343	CW
chr10	60800000	133797422	RPE-BM510	BM510x04_PE20303	WC
chr10	60800000	133797422	RPE-BM510	BM510x04_PE20313	WC
chr10	60800000	133797422	RPE-BM510	BM510x04_PE20319	CW
chr10	60800000	133797422	RPE-BM510	BM510x04_PE20336	WC
chr10	60800000	133797422	RPE-BM510	BM510x04_PE20337	WC
chr10	60800000	133797422	RPE-BM510	BM510x04_PE20340	CW
chr10	60800000	133797422	RPE-BM510	BM510x04_PE20345	CW
chr10	60800000	133797422	RPE-BM510	BM510x04_PE20357	CW
chr10	60800000	133797422	RPE-BM510	BM510x04_PE20360	CW
chr10	60800000	133797422	RPE-BM510	BM510x04_PE20365	WC
chr10	60800000	133797422	RPE-BM510	BM510x04_PE20366	WC
chr10	60800000	133797422	RPE-BM510	BM510x04_PE20368	WC
chr10	60800000	133797422	RPE-BM510	BM510x04_PE20371	CW
chr10	60800000	133797422	RPE-BM510	BM510x04_PE20377	WC
chr10	60800000	133797422	RPE-BM510	BM510x3PE20408	CW
chr10	60800000	133797422	RPE-BM510	BM510x3PE20431	CW
chr10	60800000	133797422	RPE-BM510	BM510x3PE20439	WC
chr10	60800000	133797422	RPE-BM510	BM510x3PE20440	CW
chr10	60800000	133797422	RPE-BM510	BM510x3PE20447	CW
chr10	60800000	133797422	RPE-BM510	BM510x3PE20452	CW
chr10	60800000	133797422	RPE-BM510	BM510x3PE20454	CW
chr10	60800000	133797422	RPE-BM510	BM510x3PE20463	CW
chr10	60800000	133797422	RPE-BM510	BM510x3PE20469	CW
chr10	60800000	133797422	RPE-BM510	BM510x3PE20476	WC
chr10	60800000	133797422	RPE-BM510	BM510x3PE20481	CW
chr10	60800000	133797422	RPE-BM510	BM510x3PE20483	WC
chr10	60800000	133797422	RPE-BM510	BM510x3PE20485	WC
chr10	60800000	133797422	RPE-BM510	BM510x3PE20486	WC
chr10	60800000	133797422	RPE-BM510	BM510x3PE20496	WC
chr10	60900000	98500000	RPE-BM510	BM510x3PE20474	WC
chr10	60900000	133797422	RPE-BM510	BM510x04_PE20301	WC
chr10	60900000	133797422	RPE-BM510	BM510x04_PE20379	CW
chr10	60900000	133797422	RPE-BM510	BM510x3PE20462	CW
chr10	60900000	133797422	RPE-BM510	BM510x3PE20468	CW
chr10	61000000	133797422	RPE-BM510	BM510x3PE20449	CW
chr10	61500000	96100000	RPE-BM510	BM510x3PE20446	WC
chr10	64000000	64300000	RPE-BM510	BM510x3PE20457	WW
chr10	64200000	64400000	RPE-BM510	BM510x3PE20464	WW
chr10	64300000	92800000	RPE-BM510	BM510x3PE20457	WC
chr10	64400000	68200000	RPE-BM510	BM510x3PE20464	CW
chr10	68200000	68700000	RPE-BM510	BM510x3PE20464	WW
chr10	68700000	81100000	RPE-BM510	BM510x3PE20464	CW
chr10	76300000	133797422	RPE-BM510	BM510x04_PE20380	WW
