chrom start end sample cell class len
chr15 0 88300000 RPE-BM510 BM510x04_PE20359 CW 88300000
chr15 88300000 101991189 RPE-BM510 BM510x04_PE20359 CC 13691189
chr21 0 46709983 RPE-BM510 BM510x04_PE20359 WW 46709983
chr15 0 88300000 RPE-BM510 BM510x04_PE20360 CW 88300000
chr15 88300000 101991189 RPE-BM510 BM510x04_PE20360 CC 13691189
chr21 0 46709983 RPE-BM510 BM510x04_PE20360 WW 46709983
chr15 0 88300000 RPE-BM510 BM510x04_PE20362 CW 88300000
chr15 88300000 101991189 RPE-BM510 BM510x04_PE20362 CC 13691189
chr21 0 46709983 RPE-BM510 BM510x04_PE20362 WW 46709983
chr15 0 88300000 RPE-BM510 BM510x04_PE20365 CW 88300000
chr15 88300000 101991189 RPE-BM510 BM510x04_PE20365 CC 13691189
chr21 0 46709983 RPE-BM510 BM510x04_PE20365 WW 46709983
chr15 0 88300000 RPE-BM510 BM510x04_PE20372 CW 88300000
chr15 88300000 101991189 RPE-BM510 BM510x04_PE20372 CC 13691189
chr21 0 46709983 RPE-BM510 BM510x04_PE20372 WW 46709983
chr15 0 22200000 RPE-BM510 BM510x04_PE20373 WC 22200000
chr15 22200000 87200000 RPE-BM510 BM510x04_PE20373 WW 65000000
chr15 87200000 88300000 RPE-BM510 BM510x04_PE20373 WC 1100000
chr15 88300000 101991189 RPE-BM510 BM510x04_PE20373 WW 13691189
chr21 0 46709983 RPE-BM510 BM510x04_PE20373 CC 46709983
chr15 0 101991189 RPE-BM510 BM510x04_PE20386 WC 101991189
chr21 0 46709983 RPE-BM510 BM510x04_PE20386 CC 46709983
chr15 0 22600000 RPE-BM510 BM510x04_PE20387 WC 22600000
chr15 22600000 88300000 RPE-BM510 BM510x04_PE20387 CC 65700000
chr15 88300000 101991189 RPE-BM510 BM510x04_PE20387 CW 13691189
chr21 0 46709983 RPE-BM510 BM510x04_PE20387 WC 46709983
chr15 0 22600000 RPE-BM510 BM510x04_PE20389 WC 22600000
chr15 22600000 101991189 RPE-BM510 BM510x04_PE20389 CC 79391189
chr21 0 46709983 RPE-BM510 BM510x04_PE20389 WW 46709983
chr15 0 88300000 RPE-BM510 BM510x04_PE20392 CW 88300000
chr15 88300000 101991189 RPE-BM510 BM510x04_PE20392 CC 13691189
chr21 0 46709983 RPE-BM510 BM510x04_PE20392 WW 46709983
chr15 0 78900000 RPE-BM510 BM510x04_PE20393 CW 78900000
chr15 78900000 101991189 RPE-BM510 BM510x04_PE20393 WW 23091189
chr21 0 46709983 RPE-BM510 BM510x04_PE20393 WC 46709983
chr15 0 23400000 RPE-BM510 BM510x3PE20401 WC 23400000
chr15 23400000 101991189 RPE-BM510 BM510x3PE20401 WW 78591189
chr21 0 46709983 RPE-BM510 BM510x3PE20401 CC 46709983
chr15 0 101991189 RPE-BM510 BM510x3PE20402 WC 101991189
chr21 0 46709983 RPE-BM510 BM510x3PE20402 CC 46709983
chr15 0 88300000 RPE-BM510 BM510x3PE20406 WC 88300000
chr15 88300000 101991189 RPE-BM510 BM510x3PE20406 WW 13691189
chr21 0 46709983 RPE-BM510 BM510x3PE20406 CC 46709983
chr15 0 88300000 RPE-BM510 BM510x3PE20407 WC 88300000
chr15 88300000 101991189 RPE-BM510 BM510x3PE20407 WW 13691189
chr21 0 46709983 RPE-BM510 BM510x3PE20407 CW 46709983
chr15 0 88300000 RPE-BM510 BM510x3PE20408 CW 88300000
chr15 88300000 101991189 RPE-BM510 BM510x3PE20408 CC 13691189
chr21 0 46709983 RPE-BM510 BM510x3PE20408 WC 46709983
chr15 0 101991189 RPE-BM510 BM510x3PE20415 WC 101991189
chr21 0 46709983 RPE-BM510 BM510x3PE20415 CC 46709983
chr15 0 101991189 RPE-BM510 BM510x3PE20422 WC 101991189
chr21 0 46709983 RPE-BM510 BM510x3PE20422 CW 46709983
chr15 0 101991189 RPE-BM510 BM510x3PE20425 WC 101991189
chr21 0 46709983 RPE-BM510 BM510x3PE20425 CC 46709983
chr15 0 101991189 RPE-BM510 BM510x3PE20426 CW 101991189
chr21 0 46709983 RPE-BM510 BM510x3PE20426 WC 46709983
chr15 0 101991189 RPE-BM510 BM510x3PE20439 WC 101991189
chr21 0 46709983 RPE-BM510 BM510x3PE20439 CC 46709983
chr15 0 38100000 RPE-BM510 BM510x3PE20440 WC 38100000
chr15 38100000 101991189 RPE-BM510 BM510x3PE20440 WW 63891189
chr21 0 46709983 RPE-BM510 BM510x3PE20440 CW 46709983
chr15 0 23500000 RPE-BM510 BM510x3PE20441 CW 23500000
chr15 23500000 88300000 RPE-BM510 BM510x3PE20441 CC 64800000
chr15 88300000 101991189 RPE-BM510 BM510x3PE20441 CW 13691189
chr21 0 46709983 RPE-BM510 BM510x3PE20441 WW 46709983
chr15 0 23300000 RPE-BM510 BM510x3PE20446 WC 23300000
chr15 23300000 101991189 RPE-BM510 BM510x3PE20446 CC 78691189
chr21 0 46709983 RPE-BM510 BM510x3PE20446 WW 46709983
chr15 0 22600000 RPE-BM510 BM510x3PE20448 WC 22600000
chr15 22600000 88300000 RPE-BM510 BM510x3PE20448 WW 65700000
chr15 88300000 101991189 RPE-BM510 BM510x3PE20448 WC 13691189
chr21 0 46709983 RPE-BM510 BM510x3PE20448 CC 46709983
chr15 0 101991189 RPE-BM510 BM510x3PE20449 CW 101991189
chr21 0 46709983 RPE-BM510 BM510x3PE20449 WW 46709983
chr15 0 88300000 RPE-BM510 BM510x3PE20453 CW 88300000
chr15 88300000 101991189 RPE-BM510 BM510x3PE20453 CC 13691189
chr21 0 14500000 RPE-BM510 BM510x3PE20453 CC 14500000
chr21 14500000 46709983 RPE-BM510 BM510x3PE20453 WC 32209983
chr15 0 88300000 RPE-BM510 BM510x3PE20454 CW 88300000
chr15 88300000 101991189 RPE-BM510 BM510x3PE20454 CC 13691189
chr21 0 46709983 RPE-BM510 BM510x3PE20454 WW 46709983
chr15 0 23400000 RPE-BM510 BM510x3PE20464 WC 23400000
chr15 23400000 101991189 RPE-BM510 BM510x3PE20464 WW 78591189
chr21 0 46709983 RPE-BM510 BM510x3PE20464 CC 46709983
chr15 0 88300000 RPE-BM510 BM510x3PE20471 WC 88300000
chr15 88300000 101991189 RPE-BM510 BM510x3PE20471 WW 13691189
chr21 0 46709983 RPE-BM510 BM510x3PE20471 CW 46709983
chr15 0 88300000 RPE-BM510 BM510x3PE20479 WC 88300000
chr15 88300000 101991189 RPE-BM510 BM510x3PE20479 WW 13691189
chr21 0 46709983 RPE-BM510 BM510x3PE20479 CW 46709983
chr15 0 101991189 RPE-BM510 BM510x3PE20480 WC 101991189
chr21 0 46709983 RPE-BM510 BM510x3PE20480 CW 46709983
chr15 0 22600000 RPE-BM510 BM510x3PE20486 WC 22600000
chr15 22600000 88300000 RPE-BM510 BM510x3PE20486 CC 65700000
chr15 88300000 101991189 RPE-BM510 BM510x3PE20486 CW 13691189
chr21 0 46709983 RPE-BM510 BM510x3PE20486 WW 46709983
chr15 0 88300000 RPE-BM510 BM510x3PE20487 CW 88300000
chr15 88300000 101991189 RPE-BM510 BM510x3PE20487 CC 13691189
chr21 0 46709983 RPE-BM510 BM510x3PE20487 WC 46709983
chr15 0 23600000 RPE-BM510 BM510x3PE20490 WC 23600000
chr15 23600000 101991189 RPE-BM510 BM510x3PE20490 WW 78391189
chr21 0 46709983 RPE-BM510 BM510x3PE20490 CC 46709983
