chrom	start	end	sample	cell	class
chr1	149000000	220400000	RPE1-WT	RPE1WTPE20494	CC
chr1	149000000	244400000	RPE1-WT	RPE1WTPE20464	WW
chr1	149000000	248956422	RPE1-WT	RPE1WTPE20415	CC
chr1	149000000	248956422	RPE1-WT	RPE1WTPE20436	CC
chr1	149000000	248956422	RPE1-WT	RPE1WTPE20438	CC
chr1	149000000	248956422	RPE1-WT	RPE1WTPE20445	WW
chr1	149000000	248956422	RPE1-WT	RPE1WTPE20462	WW
chr1	149000000	248956422	RPE1-WT	RPE1WTPE20481	CC
chr1	149000000	248956422	RPE1-WT	RPE1WTPE20485	CC
chr1	149000000	248956422	RPE1-WT	RPE1WTPE20486	CC
chr1	150300000	248956422	RPE1-WT	RPE1WTPE20451	WW
chr1	151600000	248956422	RPE1-WT	RPE1WTPE20440	WW
chr1	195000000	248956422	RPE1-WT	RPE1WTPE20424	CW
chr1	210000000	248956422	RPE1-WT	RPE1WTPE20439	WC
chr1	214600000	248956422	RPE1-WT	RPE1WTPE20429	WW
chr1	218400000	248956422	RPE1-WT	RPE1WTPE20430	WW
chr1	220400000	248956422	RPE1-WT	RPE1WTPE20494	CW
chr1	230000000	248956422	RPE1-WT	RPE1WTPE20457	CW
chr1	244400000	248956422	RPE1-WT	RPE1WTPE20464	WC
chr10	0	2800000	RPE1-WT	RPE1WTPE20423	WW
chr10	0	5100000	RPE1-WT	RPE1WTPE20419	WW
chr10	0	27100000	RPE1-WT	RPE1WTPE20492	WW
chr10	0	42100000	RPE1-WT	RPE1WTPE20478	CC
chr10	0	44300000	RPE1-WT	RPE1WTPE20410	WC
chr10	0	44500000	RPE1-WT	RPE1WTPE20409	WW
chr10	0	45600000	RPE1-WT	RPE1WTPE20486	WW
chr10	0	45700000	RPE1-WT	RPE1WTPE20429	CC
chr10	0	45700000	RPE1-WT	RPE1WTPE20452	WW
chr10	0	45700000	RPE1-WT	RPE1WTPE20468	CC
chr10	0	45700000	RPE1-WT	RPE1WTPE20481	WW
chr10	0	45800000	RPE1-WT	RPE1WTPE20414	WW
chr10	0	46800000	RPE1-WT	RPE1WTPE20413	WC
chr10	0	46800000	RPE1-WT	RPE1WTPE20434	WC
chr10	0	46800000	RPE1-WT	RPE1WTPE20441	CW
chr10	0	46800000	RPE1-WT	RPE1WTPE20445	WC
chr10	0	46800000	RPE1-WT	RPE1WTPE20449	CW
chr10	0	46800000	RPE1-WT	RPE1WTPE20480	CW
chr10	0	47000000	RPE1-WT	RPE1WTPE20404	CW
chr10	0	47000000	RPE1-WT	RPE1WTPE20406	CW
chr10	0	47000000	RPE1-WT	RPE1WTPE20412	WC
chr10	0	47000000	RPE1-WT	RPE1WTPE20431	CW
chr10	0	47000000	RPE1-WT	RPE1WTPE20470	WC
chr10	0	47000000	RPE1-WT	RPE1WTPE20476	CW
chr10	0	47000000	RPE1-WT	RPE1WTPE20491	WC
chr10	0	54500000	RPE1-WT	RPE1WTPE20489	CW
chr10	0	60800000	RPE1-WT	RPE1WTPE20403	CC
chr10	0	60800000	RPE1-WT	RPE1WTPE20407	WW
chr10	0	60800000	RPE1-WT	RPE1WTPE20430	CC
chr10	0	60800000	RPE1-WT	RPE1WTPE20436	CC
chr10	0	60800000	RPE1-WT	RPE1WTPE20438	CC
chr10	0	60800000	RPE1-WT	RPE1WTPE20442	WW
chr10	0	60800000	RPE1-WT	RPE1WTPE20459	WW
chr10	0	60800000	RPE1-WT	RPE1WTPE20467	WW
chr10	0	60800000	RPE1-WT	RPE1WTPE20471	CC
chr10	0	60800000	RPE1-WT	RPE1WTPE20474	WW
chr10	0	60900000	RPE1-WT	RPE1WTPE20456	WW
chr10	0	97100000	RPE1-WT	RPE1WTPE20418	CW
chr10	0	130200000	RPE1-WT	RPE1WTPE20465	CC
chr10	0	133797422	RPE1-WT	RPE1WTPE20401	WC
chr10	0	133797422	RPE1-WT	RPE1WTPE20402	CW
chr10	0	133797422	RPE1-WT	RPE1WTPE20405	WC
chr10	0	133797422	RPE1-WT	RPE1WTPE20411	WC
chr10	0	133797422	RPE1-WT	RPE1WTPE20415	WC
chr10	0	133797422	RPE1-WT	RPE1WTPE20416	WW
chr10	0	133797422	RPE1-WT	RPE1WTPE20417	WW
chr10	0	133797422	RPE1-WT	RPE1WTPE20421	WW
chr10	0	133797422	RPE1-WT	RPE1WTPE20422	WC
chr10	0	133797422	RPE1-WT	RPE1WTPE20424	CW
chr10	0	133797422	RPE1-WT	RPE1WTPE20425	WC
chr10	0	133797422	RPE1-WT	RPE1WTPE20426	CC
chr10	0	133797422	RPE1-WT	RPE1WTPE20428	CW
chr10	0	133797422	RPE1-WT	RPE1WTPE20432	WC
chr10	0	133797422	RPE1-WT	RPE1WTPE20435	WW
chr10	0	133797422	RPE1-WT	RPE1WTPE20437	WC
chr10	0	133797422	RPE1-WT	RPE1WTPE20439	WW
chr10	0	133797422	RPE1-WT	RPE1WTPE20440	CC
chr10	0	133797422	RPE1-WT	RPE1WTPE20447	WC
chr10	0	133797422	RPE1-WT	RPE1WTPE20448	CC
chr10	0	133797422	RPE1-WT	RPE1WTPE20450	CW
chr10	0	133797422	RPE1-WT	RPE1WTPE20451	CC
chr10	0	133797422	RPE1-WT	RPE1WTPE20453	CW
chr10	0	133797422	RPE1-WT	RPE1WTPE20454	CW
chr10	0	133797422	RPE1-WT	RPE1WTPE20455	WW
chr10	0	133797422	RPE1-WT	RPE1WTPE20457	CW
chr10	0	133797422	RPE1-WT	RPE1WTPE20462	WC
chr10	0	133797422	RPE1-WT	RPE1WTPE20463	CW
chr10	0	133797422	RPE1-WT	RPE1WTPE20464	WC
chr10	0	133797422	RPE1-WT	RPE1WTPE20466	CW
chr10	0	133797422	RPE1-WT	RPE1WTPE20469	WW
chr10	0	133797422	RPE1-WT	RPE1WTPE20472	WW
chr10	0	133797422	RPE1-WT	RPE1WTPE20473	CC
chr10	0	133797422	RPE1-WT	RPE1WTPE20477	WW
chr10	0	133797422	RPE1-WT	RPE1WTPE20483	WW
chr10	0	133797422	RPE1-WT	RPE1WTPE20484	CC
chr10	0	133797422	RPE1-WT	RPE1WTPE20485	WW
chr10	0	133797422	RPE1-WT	RPE1WTPE20490	WW
chr10	0	133797422	RPE1-WT	RPE1WTPE20493	CC
chr10	0	133797422	RPE1-WT	RPE1WTPE20494	CC
chr10	0	133797422	RPE1-WT	RPE1WTPE20495	WW
chr10	2800000	46800000	RPE1-WT	RPE1WTPE20423	CW
chr10	5100000	133797422	RPE1-WT	RPE1WTPE20419	WC
chr10	27100000	133797422	RPE1-WT	RPE1WTPE20492	CW
chr10	42100000	133797422	RPE1-WT	RPE1WTPE20478	CW
chr10	44300000	133797422	RPE1-WT	RPE1WTPE20410	CC
chr10	44500000	133797422	RPE1-WT	RPE1WTPE20409	WC
chr10	45600000	48200000	RPE1-WT	RPE1WTPE20486	WC
chr10	45700000	48200000	RPE1-WT	RPE1WTPE20429	WC
chr10	45700000	48200000	RPE1-WT	RPE1WTPE20468	CW
chr10	45700000	133797422	RPE1-WT	RPE1WTPE20452	WC
chr10	45700000	133797422	RPE1-WT	RPE1WTPE20481	WC
chr10	45800000	48200000	RPE1-WT	RPE1WTPE20414	CW
chr10	46800000	47400000	RPE1-WT	RPE1WTPE20413	CC
chr10	46800000	47900000	RPE1-WT	RPE1WTPE20441	WW
chr10	46800000	47900000	RPE1-WT	RPE1WTPE20449	WW
chr10	46800000	48100000	RPE1-WT	RPE1WTPE20423	WW
chr10	46800000	48100000	RPE1-WT	RPE1WTPE20434	CC
chr10	46800000	48100000	RPE1-WT	RPE1WTPE20480	WW
chr10	46800000	48200000	RPE1-WT	RPE1WTPE20445	CC
chr10	47000000	47900000	RPE1-WT	RPE1WTPE20404	WW
chr10	47000000	47900000	RPE1-WT	RPE1WTPE20412	CC
chr10	47000000	47900000	RPE1-WT	RPE1WTPE20470	CC
chr10	47000000	47900000	RPE1-WT	RPE1WTPE20476	WW
chr10	47000000	48100000	RPE1-WT	RPE1WTPE20406	WW
chr10	47000000	48100000	RPE1-WT	RPE1WTPE20431	WW
chr10	47000000	48100000	RPE1-WT	RPE1WTPE20491	CC
chr10	47400000	133797422	RPE1-WT	RPE1WTPE20413	WC
chr10	47900000	133797422	RPE1-WT	RPE1WTPE20404	CW
chr10	47900000	133797422	RPE1-WT	RPE1WTPE20412	WC
chr10	47900000	133797422	RPE1-WT	RPE1WTPE20441	CW
chr10	47900000	133797422	RPE1-WT	RPE1WTPE20449	CW
chr10	47900000	133797422	RPE1-WT	RPE1WTPE20470	WC
chr10	47900000	133797422	RPE1-WT	RPE1WTPE20476	CW
chr10	48100000	133797422	RPE1-WT	RPE1WTPE20406	CW
chr10	48100000	133797422	RPE1-WT	RPE1WTPE20423	CW
chr10	48100000	133797422	RPE1-WT	RPE1WTPE20431	CW
chr10	48100000	133797422	RPE1-WT	RPE1WTPE20434	WC
chr10	48100000	133797422	RPE1-WT	RPE1WTPE20480	CW
chr10	48100000	133797422	RPE1-WT	RPE1WTPE20491	WC
chr10	48200000	133797422	RPE1-WT	RPE1WTPE20414	WW
chr10	48200000	133797422	RPE1-WT	RPE1WTPE20429	CC
chr10	48200000	133797422	RPE1-WT	RPE1WTPE20445	WC
chr10	48200000	133797422	RPE1-WT	RPE1WTPE20468	CC
chr10	48200000	133797422	RPE1-WT	RPE1WTPE20486	WW
chr10	54500000	60800000	RPE1-WT	RPE1WTPE20489	CC
chr10	60800000	99100000	RPE1-WT	RPE1WTPE20459	WC
chr10	60800000	133797422	RPE1-WT	RPE1WTPE20403	CW
chr10	60800000	133797422	RPE1-WT	RPE1WTPE20407	WC
chr10	60800000	133797422	RPE1-WT	RPE1WTPE20430	CW
chr10	60800000	133797422	RPE1-WT	RPE1WTPE20436	CW
chr10	60800000	133797422	RPE1-WT	RPE1WTPE20438	CW
chr10	60800000	133797422	RPE1-WT	RPE1WTPE20442	WC
chr10	60800000	133797422	RPE1-WT	RPE1WTPE20467	WC
chr10	60800000	133797422	RPE1-WT	RPE1WTPE20471	CW
chr10	60800000	133797422	RPE1-WT	RPE1WTPE20474	WC
chr10	60800000	133797422	RPE1-WT	RPE1WTPE20489	CW
chr10	60900000	133797422	RPE1-WT	RPE1WTPE20456	WC
chr10	97100000	133797422	RPE1-WT	RPE1WTPE20418	WW
chr10	99100000	99300000	RPE1-WT	RPE1WTPE20459	WW
chr10	99300000	133797422	RPE1-WT	RPE1WTPE20459	WC
chr10	130200000	133797422	RPE1-WT	RPE1WTPE20465	WC
chr11	0	27000000	RPE1-WT	RPE1WTPE20470	WC
chr11	0	28500000	RPE1-WT	RPE1WTPE20465	CC
chr11	0	31400000	RPE1-WT	RPE1WTPE20493	WC
chr11	0	36700000	RPE1-WT	RPE1WTPE20442	CW
chr11	0	37000000	RPE1-WT	RPE1WTPE20419	WW
chr11	0	90100000	RPE1-WT	RPE1WTPE20463	CC
chr11	0	91700000	RPE1-WT	RPE1WTPE20418	WW
chr11	0	94300000	RPE1-WT	RPE1WTPE20434	CC
chr11	0	101100000	RPE1-WT	RPE1WTPE20466	CW
chr11	0	107700000	RPE1-WT	RPE1WTPE20467	WC
chr11	0	129200000	RPE1-WT	RPE1WTPE20474	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20401	CW
chr11	0	135086622	RPE1-WT	RPE1WTPE20402	WC
chr11	0	135086622	RPE1-WT	RPE1WTPE20403	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20404	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20405	CC
chr11	0	135086622	RPE1-WT	RPE1WTPE20406	CC
chr11	0	135086622	RPE1-WT	RPE1WTPE20407	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20409	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20410	CW
chr11	0	135086622	RPE1-WT	RPE1WTPE20411	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20412	WC
chr11	0	135086622	RPE1-WT	RPE1WTPE20413	WC
chr11	0	135086622	RPE1-WT	RPE1WTPE20414	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20415	CC
chr11	0	135086622	RPE1-WT	RPE1WTPE20416	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20417	CW
chr11	0	135086622	RPE1-WT	RPE1WTPE20421	CW
chr11	0	135086622	RPE1-WT	RPE1WTPE20422	CW
chr11	0	135086622	RPE1-WT	RPE1WTPE20423	CC
chr11	0	135086622	RPE1-WT	RPE1WTPE20424	WC
chr11	0	135086622	RPE1-WT	RPE1WTPE20425	CC
chr11	0	135086622	RPE1-WT	RPE1WTPE20426	CW
chr11	0	135086622	RPE1-WT	RPE1WTPE20428	CC
chr11	0	135086622	RPE1-WT	RPE1WTPE20429	CC
chr11	0	135086622	RPE1-WT	RPE1WTPE20430	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20431	CC
chr11	0	135086622	RPE1-WT	RPE1WTPE20432	CC
chr11	0	135086622	RPE1-WT	RPE1WTPE20435	CW
chr11	0	135086622	RPE1-WT	RPE1WTPE20436	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20437	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20438	CW
chr11	0	135086622	RPE1-WT	RPE1WTPE20439	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20440	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20441	CW
chr11	0	135086622	RPE1-WT	RPE1WTPE20445	WC
chr11	0	135086622	RPE1-WT	RPE1WTPE20447	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20448	WC
chr11	0	135086622	RPE1-WT	RPE1WTPE20449	WC
chr11	0	135086622	RPE1-WT	RPE1WTPE20450	WC
chr11	0	135086622	RPE1-WT	RPE1WTPE20451	CC
chr11	0	135086622	RPE1-WT	RPE1WTPE20452	CW
chr11	0	135086622	RPE1-WT	RPE1WTPE20453	CW
chr11	0	135086622	RPE1-WT	RPE1WTPE20454	CC
chr11	0	135086622	RPE1-WT	RPE1WTPE20455	CC
chr11	0	135086622	RPE1-WT	RPE1WTPE20456	CW
chr11	0	135086622	RPE1-WT	RPE1WTPE20457	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20459	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20462	WC
chr11	0	135086622	RPE1-WT	RPE1WTPE20464	WC
chr11	0	135086622	RPE1-WT	RPE1WTPE20468	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20469	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20471	WC
chr11	0	135086622	RPE1-WT	RPE1WTPE20472	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20473	CW
chr11	0	135086622	RPE1-WT	RPE1WTPE20476	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20477	CC
chr11	0	135086622	RPE1-WT	RPE1WTPE20478	CC
chr11	0	135086622	RPE1-WT	RPE1WTPE20480	WC
chr11	0	135086622	RPE1-WT	RPE1WTPE20481	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20483	CW
chr11	0	135086622	RPE1-WT	RPE1WTPE20484	WC
chr11	0	135086622	RPE1-WT	RPE1WTPE20485	CW
chr11	0	135086622	RPE1-WT	RPE1WTPE20486	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20489	CC
chr11	0	135086622	RPE1-WT	RPE1WTPE20490	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20491	CW
chr11	0	135086622	RPE1-WT	RPE1WTPE20492	WW
chr11	0	135086622	RPE1-WT	RPE1WTPE20494	CW
chr11	0	135086622	RPE1-WT	RPE1WTPE20495	CC
chr11	27000000	88300000	RPE1-WT	RPE1WTPE20470	CC
chr11	28500000	135086622	RPE1-WT	RPE1WTPE20465	CW
chr11	31400000	135086622	RPE1-WT	RPE1WTPE20493	WW
chr11	36700000	135086622	RPE1-WT	RPE1WTPE20442	CC
chr11	37000000	135086622	RPE1-WT	RPE1WTPE20419	WC
chr11	88300000	135086622	RPE1-WT	RPE1WTPE20470	WC
chr11	90100000	90300000	RPE1-WT	RPE1WTPE20463	WC
chr11	90300000	135086622	RPE1-WT	RPE1WTPE20463	CC
chr11	91700000	135086622	RPE1-WT	RPE1WTPE20418	WC
chr11	94300000	135086622	RPE1-WT	RPE1WTPE20434	CW
chr11	101100000	135086622	RPE1-WT	RPE1WTPE20466	WW
chr11	107700000	135086622	RPE1-WT	RPE1WTPE20467	WW
chr11	129200000	135086622	RPE1-WT	RPE1WTPE20474	CW
chr12	0	17400000	RPE1-WT	RPE1WTPE20421	CW
chr12	0	22600000	RPE1-WT	RPE1WTPE20471	CW
chr12	0	45200000	RPE1-WT	RPE1WTPE20434	CW
chr12	0	49700000	RPE1-WT	RPE1WTPE20418	CW
chr12	0	53000000	RPE1-WT	RPE1WTPE20401	WW
chr12	0	57200000	RPE1-WT	RPE1WTPE20410	WW
chr12	0	59800000	RPE1-WT	RPE1WTPE20448	CC
chr12	0	65100000	RPE1-WT	RPE1WTPE20431	CW
chr12	0	66700000	RPE1-WT	RPE1WTPE20480	CW
chr12	0	87100000	RPE1-WT	RPE1WTPE20483	CC
chr12	0	97700000	RPE1-WT	RPE1WTPE20485	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20402	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20403	CW
chr12	0	133275309	RPE1-WT	RPE1WTPE20404	WC
chr12	0	133275309	RPE1-WT	RPE1WTPE20405	CC
chr12	0	133275309	RPE1-WT	RPE1WTPE20406	WC
chr12	0	133275309	RPE1-WT	RPE1WTPE20407	WC
chr12	0	133275309	RPE1-WT	RPE1WTPE20409	CW
chr12	0	133275309	RPE1-WT	RPE1WTPE20411	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20412	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20413	CC
chr12	0	133275309	RPE1-WT	RPE1WTPE20414	CC
chr12	0	133275309	RPE1-WT	RPE1WTPE20415	CC
chr12	0	133275309	RPE1-WT	RPE1WTPE20416	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20417	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20419	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20422	WC
chr12	0	133275309	RPE1-WT	RPE1WTPE20423	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20424	CC
chr12	0	133275309	RPE1-WT	RPE1WTPE20425	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20426	CW
chr12	0	133275309	RPE1-WT	RPE1WTPE20428	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20429	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20430	CC
chr12	0	133275309	RPE1-WT	RPE1WTPE20432	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20435	WC
chr12	0	133275309	RPE1-WT	RPE1WTPE20436	WC
chr12	0	133275309	RPE1-WT	RPE1WTPE20437	CW
chr12	0	133275309	RPE1-WT	RPE1WTPE20438	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20439	WC
chr12	0	133275309	RPE1-WT	RPE1WTPE20440	CC
chr12	0	133275309	RPE1-WT	RPE1WTPE20441	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20442	CW
chr12	0	133275309	RPE1-WT	RPE1WTPE20445	CW
chr12	0	133275309	RPE1-WT	RPE1WTPE20447	CC
chr12	0	133275309	RPE1-WT	RPE1WTPE20449	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20450	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20451	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20452	WC
chr12	0	133275309	RPE1-WT	RPE1WTPE20453	CC
chr12	0	133275309	RPE1-WT	RPE1WTPE20454	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20455	CW
chr12	0	133275309	RPE1-WT	RPE1WTPE20456	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20457	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20459	CW
chr12	0	133275309	RPE1-WT	RPE1WTPE20462	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20463	CW
chr12	0	133275309	RPE1-WT	RPE1WTPE20464	WW
chr12	0	133275309	RPE1-WT	RPE1WTPE20465	WW
